"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"TARGET OF EARLY ACTIVATION TAGGED 2","TOE2","Aging Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Overexpressor: TOE2 overexpressor is late flowering under LD conditions.( No data available under SD conditions.)[Jung et al., 2007] Multiple mutant: toe1;toe2 multiple mutant flowers earlier than either single mutants under LD conditions. ( No data available under SD conditions.) [Aukerman et al., 2003][Jung et al., 2011][Jung et al., 2012] Multiple mutant: smz, snz, toe1, and toe2 mutations have additive effects and lead to an early-flowering phenotype under LD conditions. ( No data available under SD conditions.) [Jung et al., 2011][Jung et al., 2012][Mathieu et al., 2009][Yant et al., 2010] Single mutant: toe2 single mutant is only very slightly early flowering under LD conditions. ( No data available under SD conditions.) [Mathieu et al., 2009][Aukerman et al., 2003]","AT5G60120","Temperature pathwayAging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Aukerman M J et al., 2003, Plant CellSchmid M et al., 2003, DevelopmentChen X et al., 2004, ScienceJung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Wu G et al., 2009, CellJung J et al., 2011, Plant Mol. Biol."
"TARGET OF EARLY ACTIVATION TAGGED 3","TOE3","Aging Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Multiple mutant: The sextuple ap2-like mutant is early flowering under LD conditions. ( No data available under SD conditions.)[Yant et al., 2010] Overexpressor:Overexpression of a miR172-resistant version of TOE3 leads to flower defects and late-flowering under LD conditions.( No data available under SD conditions.) [Jung et al., 2014]","AT5G67180","Aging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwayVernalization","Aukerman M J et al., 2003, Plant CellChen X et al., 2004, ScienceSchwab R et al., 2005, Dev. CellJung J et al., 2007, Plant CellMathieu J et al., 2009, PLoS Biol.Yant L et al., 2010, Plant CellJung J et al., 2014, Plant Sci."
"TEMPRANILLO 1 , ETHYLENE RESPONSE DNA BINDING FACTOR 1","TEM1, EDF1","Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","RNA interference : The downregulation of both TEM1 and TEM2 expression levels by RNA interference leads to early flowering under LD conditions. ( No data available under SD conditions.) [Castillejo et al., 2008] Single mutant: tem1 single mutant is early flowering under LD conditions. ( No data available under SD conditions.) [Osnato et al., 2012][Castillejo et al., 2008] Overexpressor: TEM1 overexpressor is late flowering under both SD and LD conditions. ( TEM1 overexpression leads to reduced FT expression levels.) [Castillejo et al., 2008] Multiple mutant: tem1;tem2 multiple mutant is early flowering under both SD and LD conditions. [Osnato et al., 2012]","AT1G25560","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Castillejo C et al., 2008, Curr. Biol.Sawa M et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Osnato M et al., 2012, Nat CommunSgamma T et al., 2014, Sci Rep"
"TEMPRANILLO 2 , RELATED TO ABI3/VP1 2","TEM2, RAV2","Ambient temperature Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","RNA interference : The downregulation of both TEM1 and TEM2 expression levels by RNA interference leads to early flowering under LD conditions. ( No data available under SD conditions.) [Castillejo et al., 2008] Single mutant: tem2 single mutant is early flowering under LD conditions. ( No data available under SD conditions.)[Osnato et al., 2012][Marín-González et al., 2015] Multiple mutant: tem1;tem2 multiple mutant is early flowering under both SD and LD conditions. [Osnato et al., 2012][Marín-González et al., 2015]","AT1G68840","Temperature pathwayHormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Castillejo C et al., 2008, Curr. Biol.Sawa M et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Osnato M et al., 2012, Nat CommunSgamma T et al., 2014, Sci RepWang X et al., 2014, BMC Plant Biol.Marín-González E et al., 2015, Plant Physiol."
"TERMINAL FLOWER 2, LIKE HETEROCHROMATIN PROTEIN 1","TFL2, LHP1","General","Negative","SD and LD","Single mutant: lhp1 single mutant is early flowering under both SD and LD conditions.[Kotake et al., 2003][Matsoukas et al., 2013][Takada et al., 2003][Larsson et al., 1998][Gaudin et al., 2001][Latrasse et al., 2011] Remarks: lhp1 single mutant has increased FT expression levels and is not able to maintain vernalized state. lhp1 is required for the epigenetic silencing of FLC expression. [Mylne et al., 2006][Kotake et al., 2003][Takada et al., 2003][Sung et al., 2006] Overexpressor: LHP1 overexpression has only very little effect on flowering time. [Takada et al., 2003] Remarks: Remarks","AT5G17690","Time-course regulation of photoperiodic pathwayMains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Larsson A S et al., 1998, GeneticsTakada S et al., 2003, Plant CellKotake T et al., 2003, Plant Cell Physiol.Libault M et al., 2005, PlantaMylne J S et al., 2006, Proc. Natl. Acad. Sci. U.S.A.Turck F et al., 2007, PLoS Genet.Zhang X et al., 2007, Nat. Struct. Mol. Biol.Latrasse D et al., 2011, PLoS ONERizzardi K et al., 2011, Plant J."
"TERMINAL FLOWER1","TFL1","Flower development and meristem identity","Negative","SD and LD","Single mutant: tfl1 single mutant is early flowering under both SD and LD conditions.  Overexpressor: TFL1 overexpressor is late flowering under both SD and LD conditions. [ et al., ][Kardailsky et al., 1999][Kobayashi et al., 1999] Remarks: tfl1 single mutant has less lateral inflorescence primordia and the shoot apical meristem is converted into a terminal flower meristem. [ et al., ][Shannon et al., 1993][Shannon et al., 1991]","AT5G03840","Specification of flower mersitems","Shannon S et al., 1991, Plant CellShannon S et al., 1993, Plant CellBradley D et al., 1997, ScienceKobayashi Y et al., 1999, ScienceLiljegren S J et al., 1999, Plant CellHanzawa Y et al., 2005, Proc. Natl. Acad. Sci. U.S.A.Ho W W H et al., 2014, Plant Cell"
"TIME FOR COFFEE","TIC","Circadian Clock","Negative","LD only","Single mutant: tic single mutant is early flowering under LD conditions only. [Hall et al., 2003] Remarks: tic1 single mutant is insensitive to photoperiod. [Hall et al., 2003]","AT3G22380","Circadian clock overview","Hall A et al., 2003, Plant CellDing Z et al., 2007, Plant CellShin J et al., 2012, Plant CellSanchez-Villarreal A et al., 2013, Plant J.Hong L et al., 2014, J. Exp. Bot."
"TIMING OF CAB EXPRESSION 1","TOC1","Circadian Clock","Negative","SD only","Single mutant: toc1 single mutant is early flowering under SD conditions only. (Conflicting results under LD conditions.)","AT5G61380","Circadian clock overview","Somers D E et al., 1998, DevelopmentStrayer C et al., 2000, ScienceAlabadí D et al., 2001, ScienceMakino S et al., 2002, Plant Cell Physiol.Más P et al., 2003, NatureMás P et al., 2003, Plant CellLegnaioli T et al., 2009, EMBO J.Gendron J M et al., 2012, Proc. Natl. Acad. Sci. U.S.A."
"TOPLESS","TPL","Aging Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Single mutant: tpl single mutant displays multiple developmental defects. However, tpl single mutant supresses the late-flowering phenotype of TOE1 overexpressor.[Causier et al., 2012] Remarks: TPL protein interacts with miR172-regulated AP2-like transcriptional repressors. [Causier et al., 2012]","AT1G15750","Aging pathwayPhotoperiod pathwayMains targets of ABC(E)genes","Long J A et al., 2002, DevelopmentLong J A et al., 2006, ScienceSzemenyei H et al., 2008, ScienceCausier B et al., 2012, Plant Physiol.Tao Q et al., 2013, Plant CellWang L et al., 2013, Proc. Natl. Acad. Sci. U.S.A."
"TREHALOSE-6-PHOSPHATE SYNTHASE 1","TPS1","Sugar","Positive","SD and LD","Single mutant: tps1 single mutant is late flowering under both SD and LD conditions. [Gómez et al., 2010][Wahl et al., 2013][van Dijken et al., 2004] artificial microRNA: Downregulation of TPS1 by an artificial microRNA leads to late flowering under both SD and LD conditions. [Wahl et al., 2013] Overexpressor: Overexpression of TPS1 in the stem cell niche leads to an early-flowering phenotype under both SD and LD conditions. [Wahl et al., 2013]","AT1G78580","Aging pathwaySugar pathway","Blázquez M A et al., 1998, Plant J.Vogel G et al., 2001, J. Exp. Bot.Eastmond P J et al., 2002, Plant J.Schluepmann H et al., 2003, Proc. Natl. Acad. Sci. U.S.A.van Dijken A J H et al., 2004, Plant Physiol.Gómez L D et al., 2010, Plant J.Wahl V et al., 2013, Science"
"TRITHORAX-LIKE PROTEIN 2","ATX2","General","Negative","SD and LD","Single mutant: atx2 single mutant is slightly early flowering under both SD and LD conditions. [Pien et al., 2008][Shafiq et al., 2014] Multiple mutant: atx1;atx2 multiple mutant strongly supresses the late-flowering phenotype of the col FRI background. [Pien et al., 2008][Shafiq et al., 2014]","AT1G05830","Time-course regulation of photoperiodic pathwayFLC regulation through protein complexesGeneral processes & autonomous pathway","Rausher M D et al., 1993, GeneticsAlvarez-Venegas R et al., 2001, GenePien S et al., 2008, Plant CellYun J et al., 2012, Plant Cell Physiol.Shafiq S et al., 2014, New Phytol."
"TWIN SISTER OF FT","TSF","Flowering time integrator","Positive","LD only","Overexpressor: TSF overexpressor is early flowering under both SD and LD conditions. [Michaels et al., 2005][Yamaguchi et al., 2005] Single mutant: tsf single mutant does not display any flowering-time phenotype under LD conditions. (Conflicting results under SD conditions.) [Michaels et al., 2005][Yamaguchi et al., 2005] Multiple mutant: tsf mutation enhance the late-flowering phenotype of the ft mutant under LD conditions. (Conflicting results under SD conditions.) [Michaels et al., 2005][Yamaguchi et al., 2005][Jang et al., 2009] Remarks: Micrografting experiments of different Arabidopsis genotypes showed that TSF protein has a lower protein mobility than FT. [Jin et al., 2015]","AT4G20370","OverviewTemperature pathwayHormone pathwayPhotoperiod pathway","Michaels S D et al., 2005, Plant Physiol.Yamaguchi A et al., 2005, Plant Cell Physiol.Mathieu J et al., 2007, Curr. Biol.Jang S et al., 2009, Plant J.DAloia M et al., 2011, Plant J.Ando E et al., 2013, Plant Physiol.Hiraoka K et al., 2013, Plant Cell Physiol.Jin S et al., 2015, J. Exp. Bot."
"UBIQUITIN CARRIER PROTEIN 1","UBC1","General","Negative","SD and LD","Single mutant: ubc1 single mutant does not display any flowering-time phenotype. ( ubc1 single mutant is maybe very slightly early flowering under LD conditions only. Conflicting results.). [Gu et al., 2009][Cao et al., 2008] Multiple mutant: ubc1;ubc2 multiple mutant is early flowering under both SD and LD conditions. [Gu et al., 2009][Cao et al., 2008] Remarks: ubc1;ubc2 multiple mutant has reduced FLC expression levels. [Gu et al., 2009]","AT1G14400","FLC regulation through protein complexesGeneral processes & autonomous pathway","Bartling D et al., 1993, Plant Mol. Biol.Cao Y et al., 2008, Plant CellGu X et al., 2009, Plant J.Xu L et al., 2009, Plant J."
"UBIQUITIN CARRIER PROTEIN 2","UBC2","General","Negative","SD and LD","Single mutant: ubc2 single mutant does not display any flowering-time phenotype.[Gu et al., 2009][Cao et al., 2008] Multiple mutant: ubc1;ubc2 multiple mutant is early flowering under both SD and LD conditions. [Gu et al., 2009][Cao et al., 2008] Remarks: ubc1;ubc2 multiple mutant has reduced FLC expression levels. [Gu et al., 2009]","AT2G02760","FLC regulation through protein complexesGeneral processes & autonomous pathway","Bartling D et al., 1993, Plant Mol. Biol.Zwirn P et al., 1997, Curr. Genet.Cao Y et al., 2008, Plant CellGu X et al., 2009, Plant J.Xu L et al., 2009, Plant J."
"UBIQUITIN-SPECIFIC PROTEASE 12","UBP12","General","Negative","SD and LD","Multiple mutant: ubp12;ubp13 multiple mutant is early flowering under both SD and LD conditions.( ubp12;ubp13 double mutant shows pleiotropic defects.) [Cui et al., 2013] Single mutant: ubp12 single mutant is slightly early flowering under both SD and LD conditions. [Cui et al., 2013] Remarks: ubc12;ubc13 double mutant has an earlier CO expression peak, thus leading to increased FT expression levels. [Cui et al., 2013]","AT5G06600","General processes & autonomous pathway","Ewan R et al., 2011, New Phytol.Cui X et al., 2013, Plant Physiol."
"UBIQUITIN-SPECIFIC PROTEASE 13","UBP13","General","Negative","SD and LD","Multiple mutant: ubp12;ubp13 multiple mutant is early flowering under both SD and LD conditions.( ubp12;ubp13 double mutant shows pleiotropic defects.) [Cui et al., 2013] Single mutant: ubp13 single mutant is slightly early flowering under both SD and LD conditions. [Cui et al., 2013] Remarks: ubc12;ubc13 double mutant has an earlier CO expression peak, thus leading to increased FT expression levels. [Cui et al., 2013]","AT3G11910","General processes & autonomous pathway","Ewan R et al., 2011, New Phytol.Cui X et al., 2013, Plant Physiol."
"UBIQUITIN-SPECIFIC PROTEASE 26","UBP26","General","Negative","SD and LD","Remarks: ubp26 single mutant has reduced FLC expression levels. [Schmitz et al., 2009] Single mutant: ubp26 single mutant is early flowering under both SD and LD conditions. [Schmitz et al., 2009]","AT3G49600","VernalizationGeneral processes & autonomous pathway","Sridhar V V et al., 2007, NatureLuo M et al., 2008, GeneticsSchmitz R J et al., 2009, Plant Physiol.Strzalka W et al., 2013, J. Exp. Bot."
"UDP-GLUCOSYL TRANSFERASE 87A2","UGT87A2","General","Positive","SD and LD","Single mutant: ugt87a2 single mutant is late flowering under both SD and LD conditions. [Wang et al., 2012] Remarks: ugt87a2 single mutant has higher FLC expression levels. [Wang et al., 2012]","AT2G30140","General processes & autonomous pathway","Wang B et al., 2012, New Phytol."
"ULTRAPETALA1","ULT1","Flower development and meristem identity","Positive","SD only","Single mutant: ult1 single mutant is slightly late flowering under SD conditions only. [Pu et al., 2013] Overexpressor: Overexpression of ULT1 leads to early flowering. ( No available data about growth conditions.) [Carles et al., 2009] Remarks: ult1 single mutant produces flowers that contain more floral organs and whorls than wild-type plants. ULT1 overexpressor has pleiotropic defects, including short stature, increased branch outgrowth, and prematurely terminating inflorescence meristems. [Fletcher et al., 2001][Carles et al., 2004] Multiple mutant: ult1;ult2 double mutant produces inflorescences bearing more flowers than either single mutants. [Monfared et al., 2013]","AT4G28190","Mains targets of ABC(E)genes","Fletcher J C et al., 2001, DevelopmentCarles C C et al., 2004, GeneticsPrunet N et al., 2008, Plant CellCarles C C et al., 2009, Genes Dev.Monfared M M et al., 2013, Mol PlantPu L et al., 2013, Plant Physiol.Pires H R et al., 2014, Plant CellEngelhorn J et al., 2014, Ann. Bot."
"ULTRAPETALA2","ULT2","Flower development and meristem identity",,"None","Single mutant: ult2 single mutant does not display any flowering-time phenotype.[Monfared et al., 2013] Multiple mutant: ult1;ult2 double mutant produces inflorescences bearing more flowers than either single mutants. [Monfared et al., 2013] Remarks: ult2 single mutant does not display any flower development defects. [Monfared et al., 2013] Overexpressor: ULT2 overexpressor shows pleiotropic defects, including small rosettes, early flowering under continous light, and prematurely terminating inflorescence meristems. [Monfared et al., 2013]","AT2G20825",,"Monfared M M et al., 2013, Mol Plant"
"UNUSUAL FLORAL ORGANS","UFO","Flower development and meristem identity",,"None","Overexpressor: UFO overexpression causes several floral defects, including supernumerary petals and stamens. [Lee et al., 1997]Remarks: UFO is an upstream regulator of AP3 expression and is therefore involved in floral meristem determinacy.[Lee et al., 1997] Single mutant: ufo single mutant has multiple floral defects. [Levin et al., 1995][Wilkinson et al., 1995][Ingram et al., 1995][Samach et al., 1999]","AT1G30950","Mains targets of ABC(E)genes","Wilkinson M D et al., 1995, Plant CellLevin J Z et al., 1995, Plant CellIngram G C et al., 1995, Plant CellLee I et al., 1997, Curr. Biol.Zhao D et al., 1999, Dev. Genet.Samach A et al., 1999, Plant J.Zhao D et al., 2001, DevelopmentHepworth S R et al., 2006, PlantaKusters E et al., 2015, Development"
